name,Otherlanguages,botanicalName,plantFamily,origin,partOfPlant,extractionmethod,Aromatic molecules,note,strength,fragrancegroup,Fragrance,Chakra,Color,Element,plantInfo,General proporties,Proporties body,Proporties mind,Proporties skin,HarmonizesWith,Did you know?,CONTRAINDICATIONS
Rose damascener ,NL Roos damascener; FR Rose damas; DE Rose; damascener; IT Rose; damascener; CZ Růže; PL Róża damasceńska,Rosa damascena,Rosaceae,Turkey,Flower,Steamdestillation,Nerol; Geraniol; Citronellol,Heart,5,Flower,Floral; Delicate,Heart; Crown ,Red; Rose,Earth; Water,Rose Damascener is a small thorny shrub belonging to the Rosaceae family from the East Cultivated for the most part in Turkey and Bulgaria it reaches a height ranging between 1 and 2 m with very fragrant pink flowers provided with thirty-five petals and whitish tomentose leaves,Relaxing; Harmonizing,NA,NA,NA,Amyris; Tolu Balm; Benzoin; Roman Camomile; Clove; Geranium; Lavender True; Hybrid Lavender; Ho Wood; Palmarosa; Patchouli; Black Pepper; Amyris; Spicy Oils; Citrus oils,NA,/
Rosemary CT cineol ,NL Rozemarijn CT cineol; FR Rosmarin; DE Rosmarin CT cineol; IT Rosmarin CT cineol; CZ Rozmarýn CT cineol; PL Rozmaryn;,Rosmarinus officinalis,Lauraceae,Morocco,Plant,Steamdestillation,1;8 cineole,Heart,5,Herbal,Balsamic; Woody; Medicinal,Heart,Green,Earth; Fire,Rosemary is an evergreen bush shrub belonging to the Lamiaceae family originating in the Mediterranean area Cultivated mostly in France and Morocco reaches a height of 2 m with green-silver needle leaves and blue flowers,Revitalise; Supports airways; Supports immunesystem,NA,NA,NA,Basil; Benzoin; Cedar; Citronella; Elemi; Frankincense; Lavender; Lavender Hybrid; Spicy Oils; Citrus oils,NA,Do not use on skin; Irritating Avoid pregnancy and epilepsy
Sage,NL Salie; FR Sauge Dalmate; DE Salbei; IT Salvia; CZ Šalvěj lékařská; PL Szałwia;,Salvia officinalis,Lauraceae,France,Leaf,Steamdestillation,Thuyones; Camphor,Heart,5,Herbal,Warm; Sharp,Solar Plexus,Red,Water;Fire,Common Sage is a perennial bushy herb plant belonging to the Lamiaceae family originally from the Mediterranean area Cultivated mostly in Spain reaches a height of 80 cm with woody stem at the base delicate silver oval leaves and a mass of intense blue or violet flowers,Harmonizing; Supports airways; Supports immunesystem,NA,NA,NA,Bergamot; Jasmine; Frankincense; Lavender; Hybrid Lavender; Ho; Lemon; Ravintsara; Citrus oils,NA,Do not ingest Toxic; So avoid pregnancy Avoid use in the presence of epilepsy
Sandalwood West Indies ,NL Sandelhout; West-Indisch; FR Santal; Indes Occidentales; DE Sandelholz; Westindische; IT Sandalo Amyris; CZ Santalové dřevo; PL Drzewo sandałowe,Amyris balsamifera,Rutaceae,India,Wood,Steamdestillation,Valerianol; Eudesmol,Base,2,Woody,Woody; Warm,Root; Sacret,Yellow; Green,Earth; Fire,Amyris is a small evergreen bush tree belonging to the Rutaceae family of the Caribbean Cultivated mostly in Haiti reaches a height of 1-2 m with woody bases at the base light green leaves and white flowers It is also called Sandalwood of the West Indies,Relaxing,NA,NA,NA,Bergamot; Cedar atlas; Cedar of Virginia; Cedar Himalayas; Citronella; Elemi; Lavender; Lavendin; Ylang-Ylang; Woody Oils,NA,/
Scotch pine ,"NL Grove Den; FR Pin sylvestre; DE Kiefernnadel; IT Pino silvestre; CZ Borovice skotská; PL Sosna zwyczajna
",Pinus sylvestris,Pinaceae,Balkan,Plant,Steamdestillation,Pinenes; Limonene; δ 3 carene,Top,4,Woody:Conifer,Fresh; Woody; Terrestrial; Balsamic,Heart; Sacral ,Green; Orange,Earth; Air,Pine Silvestre is an evergreen tree belonging to the Pinaceae family of Eurasia Cultivated for the most part in northern countries especially in Finland it often reaches a height of 40 m with brownish-brown bark and long and rigid needles,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Tea Tree; Amyris; Juniper; Lavender; Lavender Hybrid; Oregano; Black Pepper; Ravintsara; Rosemary; Vetiver; Ylang-Ylang; Spicy Oils; Citrus oils,NA,Use with moderation; High doses can lead to sensitization phenomena
Siam wood ,NL Siam hout; FR Bois de Siam; DE Siamholz; IT Fokenia; CZ Siam dřevo; PL Fokienia,Fokienia Hodgensii,Cupressaceae,Vietnam,Wood,Steamdestillation,Trans nerolidol; Fokienol,Heart,3,Woody,Balsamic; Woody; Sweet,NA,NA,NA,Siam or Fokienia is an evergreen plant belonging to the Cupressaceae family originating in Southeast Asia Grown spontaneously for the most part in Vietnam China and Laos it often reaches a height of about 30 m medium-sized barrels with gray-brown bark that partially breaks out during growth making the wood aromatic The leaves are palmed needles with color gradations that vary from dark green to light green,Revitalise,NA,NA,NA,Basil; Roman Chamomile; Camphor; Cypress; Coriander; Lavender; Hybrid Lavender; Lemon; Petitgrain; Pine; Citrus oils,NA,It is best to avoid using it during pregnancy
Siberian fir ,NL Siberische spar; FR Pin de Sibérie; DE Fichtennadel; IT Abete siberiano; CZ Jedle sibiřská; PL Jodła syberyjska,Abies siberica,Pinaceae,Russia,Needles,Steamdestillation,α-pinene; Bornyl acetate; Camphene; δ 3-carene,Top,3,Woody:Conifer,Balsamic; Fresh,Heart; Sacred,Orange; Green,Earth; Air,The Siberian fir is an evergreen conifer of the Pinaceae family of Eastern Europe It spontaneously grows mostly in Siberia and Mongolia often reaches a height of 30 m with woody tails at the base tending from gray-green to gray-brown with resin bubbles typical of many fir trees needle-colored leaves in light gray color in Top with two gray-white stomatic bands below and red-brown cones unlike the red fir tree are facing upward,Harmonizing; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Pine; Fir; Juniper; West-indian sandalwood; Benzoin,NA,/
Silverfir,NL Zilverspar; FR Sapin pectiné; DE Weistanne; IT Abete bianco; CZ Jedle stříbrná; PL Jodła srebrna,Abies alba Miller,Pinaceae,Austria,Leaf,Steamdestillation,α- & β-pinene; Limonene; Camphene,Top,3,Woody:Conifer,Sweet; Fresh; Balsamic,Heart; Sacred,Orange; Green,Fire; Air,The silver fir or white fir is a conifer belonging to the Pinaceae family of Northern Europe Cultured for the most part in Austria Switzerland England and Poland often reach a height of 50 m with woody bases at the base needle leaves and red-brown cones that unlike the red fir tree are facing upwards,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Lavender; Lavender Hybrid; Lemon; Majoran; Latschenkiefer; Zilberkiefer; Ravintsara; Rosemary; citrus oils,NA,Use with moderation; Can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
Spearmint,NL Kruizemunt; FR Menthe en Grappe; DE Krauseminze; IT Menta spicata; CZ Spearmint; PL Mięta zielona spearmint,Mentha spicata,Lamiaceae,China,Plant,Steamdestillation,Myrcene; Carvone; Limonene,Top,4,Herbal:mint,Fresh; Strong,Solar Plexus; Heart,Green,Earth;Fire,Spearmint is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia Cultured for the most part in Asia and Europe reaches a maximum height of 1 m with erect stems light green leaves small white-pink or purple flowers and rizomatose roots that expand dramatically in the soil,Revitalise; Supports airways,NA,NA,NA,Tea tree; Benzoin; Citronella; Juniper; Lavender; Hybrid Lavender; Majoram; Pine; Rosemary; Spicy; Citrus Oils,NA,Use with moderation and avoid pure use on extended areas It is preferable to avoid using it during homeopathic treatment Can cause cool-shock!
Staranise,NL Steranijs; FR Badiane; DE Steranis; IT Anice stellato; CZ Badyán; PL Anyż gwiaździsty,Illicium verum,Magnoliacea,Indonesia,Fruit,Steamdestillation,Trans anethole,Heart,5,Spicy,Wrapping; Sweet; Spicy,NA, NA,Fire; Earth,The Staranise is an evergreen tree belonging to the Lamiaceae family of South East China Cultivated mostly in East Asia often reaches a height of 12 m with white woody bases at the base green linear leaves and star-shaped fruits,Harmonizing; Supports airways; Purifying,NA,NA,NA,Siberian fir; Lavender; Hybrid Lavender; Oak Moss; Pine; Rosemary; Sage; Citrus oils,NA,Using in moderation; Taken at high doses can cause states of heartache and tremor It is preferable to avoid using it during pregnancy
Sweet orange ,NL Zoete Sinaas; FR Orange douce; DE Orangeöl süß; IT Arancio dolce; CZ Sladký pomeranč; PL Słodka pomarańcza;,Citrus sinensis,Rutaceae,Mexico,Peel,Cold pressing,Limonene,Top,3,Citrus,Fruity; Fresh,Heart; Throat,Orange,Air; Fire,Sweet orange (Citrus Sinensis) is an evergreen tree belonging to the Rutaceae family of China Cultivated for the most part in Italy and Spain reaches a height of 8-10 m with woody base small green-dark leaves and clear whitish flowers The fruits are larger and clearer than those of the bitter orange,Relaxing; Harmonizing; Purifying; disinfects the air; supports when having a cold or bronchitis; uplifts and relaxing when having stress; firms the skintension,NA,NA,NA,Star Anise; Cinnamon; Cloves; Lavender; Lavandin; Myrhh; Vanilla; Most of the existing oils,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun
Tangerine,NL Tangerine; FR Tangerine; DE Tangerine; IT Tangarino; CZ Mandarinka tanžerína; PL Tangerynka,Citrus reticulata var Tang,Rutaceae,Brasil,Peel,Cold pressing, NA,Heart,3,Citrus,Fruity; Fresh; Sweet; Lighter than mandarin,Root Sacral Solar Plexus,Orange,Water; Air,The tangerine originates from China but is now mainly grown in the United States and Italy,Relaxing; Supports airways; Supports immunesystem,NA,NA,NA,Basil; Bergamot; Cinnamon; Sage; Cloves; Frankincense; Lavender; Lemon; Lime; Neroli; Orange,NA,Photosensibilizing and phototoxic; Not to be used before exposure to the sun It can irritate the mucous membranes and cause skin irritations
Tea tree ,NL Tea tree; FR Melaleuce; DE Teebaum; IT Tea tree; CZ Čajovník (tea tree); PL Drzewo herbaciane,Melaleuca alternifolia,Myrtaceae,Australia,Leaf,Steamdestillation,Terpineol 1;4; γ-terpinene,Top,3,Herbal:medicenal,Herbaceous; Fresh; Balsamic,All,Yellow; Blue,Air; Earth,The Tea Tree is a small shrub belonging to the family of the original Myrtaceae of Australia Cultivated mostly in Australia often reaches a height of 5 m with woody bases at the base needle leaves and white flower heads Also known as Tea Tree and Melaleuca,Harmonizing; Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Clove; Pine; Lavender; Hybrid Lavender; Majoram; Oak Moss; Sage; Ylang-Ylang; Spicy Oils,NA,/
Thuja,NL Thuja; FR Thuja; DE Thuja; IT Tuia coreana; CZ Thuja - Zerav východní; PL Żywotnik koreański;,Thuja occidentalis,Cupressaceae,China,Leaf,Steamdestillation,Thuyone; Fenchone,Top,4,Woody:Conifer,Fresh; Woody; Medicinal,Solar Plexus; Heart,Orange; Yellow,Air,Thuja is an evergreen evergreen tree belonging to the Cupressaceae family of North America Grown spontaneously for the most part in Korea (Thuja Koraiensis) China (Thuja Orientalis) and Alaska (Thuja Occidentalis) also called White Cedar often reaches a height of 60 m with tapered stems conical hair cedar bark red cinnamon slightly flattened sprigs flake-cut leaves and woody cones,Revitalise; Supports airways,NA,NA,NA,Camphor; Cypress; Juniper; Pine; Ravintsara; Rosemary; Spicy oils; Citrus fruits,NA,Avoid pregnancy Do not swallow
Thymian ct Thymol ,NL Tijm ct thymol; FR Thym; à thymol; DE Thymian ct Thymol; IT Thymian ct Thymol; CZ Tymián bílý; PL Tymianek; ,Thymus vulgaris thymoliferum,Lamiaceae,France,Plant,Steamdestillation, NA,Heart; Base,6,Herbal,Warm; Intense; Balsamic; Strongly aromatic,Solar Plexus; Heart,Green,Fire,Timo is an aromatic shrub plant belonging to the Lamiaceae family originally from the Mediterranean area Cultivated mostly in Spain often reaches a height of 30 cm with winding and woody and square section very branched The small leaves are aromatic the flowers have a rose corolla with 5 irregular petals and 4 stamens,Revitalise; Supports airways; Supports immunesystem; Purifying,NA,NA,NA,Bloodorange; Sweet Orange; Bergamot; Lavender; Lavender Hybrid; Lemon; Majoram; Citrus oils,NA,DOSE VERY LOW! It contains high doses of toxic phenols that can irritate the mucous membranes and cause skin irritations It is preferable to avoid using it during pregnancy
Tokyo mint ,NL Tokyo munt; FR Menthe Tokyo; DE Tokyo minze; IT Menta Tokyo; CZ Japonská máta; PL Mięta Tokyo,Mentha arvensis var,Lamiaceae,Spain,Plant,Steamdestillation, NA,Top,4,Herbal:mint,Fresh; Strong; Menthol,Heart; Solar Plexus,Green,Air; Fire,Tokyo mint is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia Cultivated mostly in China and France it reaches a maximum height of 60 cm with erect stems greenish lanceolate leaves lilac flowers and rizomatose roots that expand dramatically in the soil,Revitalise; Supports airways,NA,NA,NA,Tea tree; Benzoin; Citronella; Juniper; Lavender; Hybrid Lavender; Majoram; Pine; Rosemary; Spicy; Citrus Oils,NA,Use with moderation and avoid pure use on extended areas It is preferable to avoid using it during homeopathic treatment Can cause cool-shock!
Vetiver,NL Vetiver; FR Vetyver; DE Vetiver; IT Vetiver; CZ Vousatka; PL Vousatka draslavá; Vetiver,Vetiver zizanoides,Poaceae,Java,Root,Steamdestillation,Vétivene; Vétivenol; Vétivenone,Base,5,Resinous,Warm; Earthy; Woody,All,Green,Earth,Vetiver is a perennial herbaceous plant from the Poaceae family originating in southern India Sri Lanka and Indonesia Cultured for the most part in Sri Lanka often reaches a height of 40 cm with straight stems long narrow leaves and has hundreds of white underground roots,Relaxing; Harmonizing; Supports immunesystem,NA,NA,NA,Jasmine; Lavender; Lavender Hybrids; Neroli; Patchouli; Rose; Common Sage; Ylang-Ylang; Citrus oils,NA,/
Wild mint ,NL Wild mint; FR Akkermunt; DE Menthe des champs; IT Indische Minzöl; CZ Menta campestre; PL Máta divoká,Mięta dzika,Lamiaceae,China,Plant,Steamdestillation,Menthol; Menthone; Isomenthone,Top,4,Herbal:mint,Fresh; Strong; Menthol,Heart; Solar-plexus,Green,Air; Fire,Wild mint is a herbaceous plant belonging to the Lamiaceae family of Europe and some regions of Asia Cultivated mostly in China and Brazil reaches a maximum height of 60 cm with erect stems greenish lanceolate leaves lilac flowers and rizomatose roots that expand dramatically in the soil,Revitalise; Supports airways,NA,NA,NA,Tea tree; Benzoin; Citronella; Juniper; Lavender; Hybrid Lavender; Majoram; Pine; Rosemary; Spicy Oils,NA,Use with moderation and avoid pure use on extended areas It is preferable to avoid using it during homeopathic treatment Can cause cool-shock!
Wintergreen,NL Wintergreen; FR Wintergreen; DE Wintergrün; IT Wintergreen; CZ Libavka; PL Golteria,Gaultheria fragrantissima,Ericaceae,Nepal,Leaf,Steamdestillation,Methyl salicylate,Heart,5,Herbal,Warm; Balsamic,Heart; Solar Plexus,Green,Water; Earth,Wintergreen or Gaultheria is a small herb that originates from North-America and now cultivated in USA and Nepal It reaches 15cm high with elliptical leaves and pink white flowers,Revitalise,NA,NA,NA,Pine; Lavender; Cypress; Juniper,NA,Use in moderationDo not use during pregnancy It can cause skin irritations
Ylang Ylang II ,NL Ylang ylang II; FR Ylang ylang II; DE Ylang Ylang II; IT Ylang ylang II; CZ Kananga vonná - Ylang Ylang II; PL Ylang ylang II,Cananga odorata var genuina,"
Anonaceae",madagascar,Flower,Steamdestillation,Germacrene D; Benzyl acetate; Farnesene; Benzyl benzoate,Heart,5,Flower,Sweet; Floral; Spicy; Sensual,Heart,Pink,Water; Earth,Ylang-Ylang is a tree of the Annonaceae family of tropical Asia Cultured for the most part in Madagascar often reaches a height of 20 m with large flowers that can be pink yellow or mulberry Yellow flowers are considered the best for extracting essential oil,Relaxing,NA,NA,NA,Bergamot; Jasmine; Lavender; Lavandin; Ho; Melisse; Rose; Vetiver; Citrus oils,NA,Use in moderation; Its intense perfume can cause nausea and headache
